parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_conservative
305,"Location (35.0463, -85.3099)",16707.881492106386,81,14546,11,49,97.59,98.13,100.0,89.96,100.0,82.92,97.33,Excellent - High Frequency,High Reliability,1
389,"Location (35.0468, -85.3080)",16529.77547474899,82,14823,11,130,98.8,100.0,100.0,73.36,100.0,84.7,95.7,Excellent - High Frequency,High Reliability,2
295,"Location (35.0444, -85.3099)",16751.50025168177,77,13865,10,39,92.77,93.54,100.0,92.01,90.91,82.48,94.15,Excellent - High Frequency,High Reliability,3
320,"Location (35.0453, -85.3062)",16404.347568691006,83,12648,10,70,100.0,85.33,100.0,85.66,90.91,85.96,92.54,Excellent - High Frequency,High Reliability,4
453,"Location (35.0450, -85.3115)",16876.701925648158,70,12855,11,38,84.34,86.72,100.0,92.21,100.0,81.23,90.93,Excellent - High Frequency,High Reliability,5
417,"Location (35.0476, -85.3068)",16400.49522657566,76,12071,11,107,91.57,81.43,100.0,78.07,100.0,86.0,89.03,Excellent - High Frequency,High Reliability,6
415,"Location (35.0439, -85.3057)",16388.399951156578,75,11272,10,52,90.36,76.04,100.0,89.34,90.91,86.12,87.9,Excellent - High Frequency,High Reliability,7
292,"Location (35.0443, -85.3118)",16927.433058822888,65,12547,10,47,78.31,84.65,100.0,90.37,90.91,80.73,87.62,Excellent - High Frequency,High Reliability,8
290,"Location (35.0503, -85.3092)",16557.278339854693,72,10895,11,42,86.75,73.5,100.0,91.39,100.0,84.43,87.45,Excellent - High Frequency,High Reliability,9
328,"Location (35.0452, -85.3124)",16960.252532299142,63,12439,11,71,75.9,83.92,100.0,85.45,100.0,80.4,86.97,Excellent - High Frequency,High Reliability,10
345,"Location (35.0503, -85.3088)",16525.463031721294,72,10981,11,73,86.75,74.08,100.0,85.04,100.0,84.75,86.67,Excellent - High Frequency,High Reliability,11
61,"Location (35.0417, -85.3073)",16587.101551142212,71,11494,10,114,85.54,77.54,100.0,76.64,90.91,84.13,85.23,Excellent - High Frequency,High Reliability,12
313,"Location (35.0429, -85.3052)",16369.717616531281,70,10130,10,48,84.34,68.34,100.0,90.16,90.91,86.3,84.2,Excellent - High Frequency,High Reliability,13
422,"Location (35.0512, -85.3101)",16628.625284649537,65,10039,11,30,78.31,67.73,100.0,93.85,100.0,83.71,83.97,Excellent - High Frequency,High Reliability,14
434,"Location (35.0463, -85.3123)",16919.713707409188,58,12444,11,159,69.88,83.95,100.0,67.42,100.0,80.8,82.77,Excellent - High Frequency,High Reliability,15
252,"Location (35.0477, -85.3121)",16874.41713334078,57,12062,11,134,68.67,81.37,100.0,72.54,100.0,81.26,82.46,Excellent - High Frequency,High Reliability,16
383,"Location (35.0446, -85.3130)",17019.948841998597,58,11732,9,63,69.88,79.15,100.0,87.09,81.82,79.8,82.46,Excellent - High Frequency,High Reliability,17
449,"Location (35.0507, -85.3113)",16736.968889428194,63,9798,11,45,75.9,66.1,100.0,90.78,100.0,82.63,82.42,Excellent - High Frequency,High Reliability,18
125,"Location (35.0516, -85.3070)",16337.989328924748,68,9370,11,72,81.93,63.21,100.0,85.25,100.0,86.62,82.23,Excellent - High Frequency,High Reliability,19
358,"Location (35.0465, -85.3051)",16278.823650005299,69,8728,11,67,83.13,58.88,100.0,86.27,100.0,87.21,81.39,Excellent - High Frequency,High Reliability,20
337,"Location (35.0483, -85.3062)",16332.16557027244,65,9698,10,99,78.31,65.43,100.0,79.71,90.91,86.68,80.25,Excellent - High Frequency,High Reliability,21
425,"Location (35.0407, -85.3074)",16623.082664037836,65,9539,9,64,78.31,64.35,100.0,86.89,81.82,83.77,80.1,Excellent - High Frequency,High Reliability,22
