parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_extended
205,"Location (35.0463, -85.3041)",16187.624910242865,195,28631,12,58,100.0,100.0,100.0,94.14,100.0,88.12,99.12,Excellent - High Frequency,High Reliability,1
403,"Location (35.0458, -85.3032)",16122.22954416108,194,28594,12,81,99.49,99.87,100.0,91.81,100.0,88.78,98.6,Excellent - High Frequency,High Reliability,2
305,"Location (35.0463, -85.3099)",16707.881492106386,193,28114,12,49,98.97,98.19,100.0,95.05,100.0,82.92,98.46,Excellent - High Frequency,High Reliability,3
358,"Location (35.0465, -85.3051)",16278.823650005299,191,28352,12,67,97.95,99.03,100.0,93.23,100.0,87.21,98.18,Excellent - High Frequency,High Reliability,4
320,"Location (35.0453, -85.3062)",16404.347568691006,193,28093,12,70,98.97,98.12,100.0,92.92,100.0,85.96,98.12,Excellent - High Frequency,High Reliability,5
113,"Location (35.0468, -85.3023)",16015.371946716066,190,28026,12,59,97.44,97.89,100.0,94.03,100.0,89.85,97.83,Excellent - High Frequency,High Reliability,6
364,"Location (35.0457, -85.3027)",16078.938046338448,191,27962,12,71,97.95,97.66,100.0,92.82,100.0,89.21,97.71,Excellent - High Frequency,High Reliability,7
382,"Location (35.0484, -85.3041)",16145.832784750124,186,28314,12,88,95.38,98.89,100.0,91.1,100.0,88.54,97.18,Excellent - High Frequency,High Reliability,8
456,"Location (35.0488, -85.3039)",16113.818764930795,186,27988,12,78,95.38,97.75,100.0,92.11,100.0,88.86,96.99,Excellent - High Frequency,High Reliability,9
321,"Location (35.0476, -85.3019)",15966.306868863656,185,27537,12,92,94.87,96.18,100.0,90.7,100.0,90.34,96.18,Excellent - High Frequency,High Reliability,10
389,"Location (35.0468, -85.3080)",16529.77547474899,185,28070,12,130,94.87,98.04,100.0,86.86,100.0,84.7,96.16,Excellent - High Frequency,High Reliability,11
435,"Location (35.0490, -85.3042)",16138.977126095268,183,27578,12,107,93.85,96.32,100.0,89.18,100.0,88.61,95.74,Excellent - High Frequency,High Reliability,12
453,"Location (35.0450, -85.3115)",16876.701925648158,181,26051,12,38,92.82,90.99,100.0,96.16,100.0,81.23,94.93,Excellent - High Frequency,High Reliability,13
381,"Location (35.0495, -85.3031)",16029.088627632473,180,26472,12,62,92.31,92.46,100.0,93.73,100.0,89.71,94.87,Excellent - High Frequency,High Reliability,14
337,"Location (35.0483, -85.3062)",16332.16557027244,179,27114,12,99,91.79,94.7,100.0,89.99,100.0,86.68,94.86,Excellent - High Frequency,High Reliability,15
295,"Location (35.0444, -85.3099)",16751.50025168177,185,26219,11,39,94.87,91.58,100.0,96.06,91.67,82.48,94.77,Excellent - High Frequency,High Reliability,16
415,"Location (35.0439, -85.3057)",16388.399951156578,186,26260,11,52,95.38,91.72,100.0,94.74,91.67,86.12,94.74,Excellent - High Frequency,High Reliability,17
417,"Location (35.0476, -85.3068)",16400.49522657566,179,26972,12,107,91.79,94.21,100.0,89.18,100.0,86.0,94.59,Excellent - High Frequency,High Reliability,18
363,"Location (35.0497, -85.3039)",16096.553826358062,180,26794,12,113,92.31,93.58,100.0,88.57,100.0,89.03,94.44,Excellent - High Frequency,High Reliability,19
328,"Location (35.0452, -85.3124)",16960.252532299142,177,26292,12,71,90.77,91.83,100.0,92.82,100.0,80.4,94.16,Excellent - High Frequency,High Reliability,20
338,"Location (35.0437, -85.3047)",16308.49029452376,182,25956,11,58,93.33,90.66,100.0,94.14,91.67,86.92,93.82,Excellent - High Frequency,High Reliability,21
313,"Location (35.0429, -85.3052)",16369.717616531281,179,25501,11,48,91.79,89.07,100.0,95.15,91.67,86.3,93.11,Excellent - High Frequency,High Reliability,22
