parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_moderate
337,"Location (35.0483, -85.3062)",16332.16557027244,159,24077,12,99,100.0,100.0,100.0,87.29,100.0,86.68,98.09,Excellent - High Frequency,High Reliability,1
417,"Location (35.0476, -85.3068)",16400.49522657566,156,23988,12,107,98.11,99.63,100.0,86.26,100.0,86.0,97.36,Excellent - High Frequency,High Reliability,2
358,"Location (35.0465, -85.3051)",16278.823650005299,153,22998,12,67,96.23,95.52,100.0,91.4,100.0,87.21,96.42,Excellent - High Frequency,High Reliability,3
389,"Location (35.0468, -85.3080)",16529.77547474899,155,23583,12,130,97.48,97.95,100.0,83.31,100.0,84.7,96.25,Excellent - High Frequency,High Reliability,4
305,"Location (35.0463, -85.3099)",16707.881492106386,141,22428,11,49,88.68,93.15,100.0,93.71,91.67,82.92,93.34,Excellent - High Frequency,High Reliability,5
205,"Location (35.0463, -85.3041)",16187.624910242865,141,21869,11,58,88.68,90.83,100.0,92.55,91.67,88.12,92.47,Excellent - High Frequency,High Reliability,6
320,"Location (35.0453, -85.3062)",16404.347568691006,138,21775,11,70,86.79,90.44,100.0,91.01,91.67,85.96,91.65,Excellent - High Frequency,High Reliability,7
295,"Location (35.0444, -85.3099)",16751.50025168177,134,21351,11,39,84.28,88.68,100.0,94.99,91.67,82.48,91.09,Excellent - High Frequency,High Reliability,8
382,"Location (35.0484, -85.3041)",16145.832784750124,142,20169,12,88,89.31,83.77,100.0,88.7,100.0,88.54,90.76,Excellent - High Frequency,High Reliability,9
435,"Location (35.0490, -85.3042)",16138.977126095268,144,19908,12,107,90.57,82.68,100.0,86.26,100.0,88.61,90.39,Excellent - High Frequency,High Reliability,10
456,"Location (35.0488, -85.3039)",16113.818764930795,142,19451,12,78,89.31,80.79,100.0,89.99,100.0,88.86,90.06,Excellent - High Frequency,High Reliability,11
415,"Location (35.0439, -85.3057)",16388.399951156578,131,21100,11,52,82.39,87.64,100.0,93.32,91.67,86.12,90.05,Excellent - High Frequency,High Reliability,12
313,"Location (35.0429, -85.3052)",16369.717616531281,132,20894,11,48,83.02,86.78,100.0,93.84,91.67,86.3,90.03,Excellent - High Frequency,High Reliability,13
252,"Location (35.0477, -85.3121)",16874.41713334078,137,20898,12,134,86.16,86.8,100.0,82.8,100.0,81.26,90.0,Excellent - High Frequency,High Reliability,14
308,"Location (35.0493, -85.3052)",16222.267759599044,143,21178,12,205,89.94,87.96,100.0,73.68,100.0,87.78,89.92,Excellent - High Frequency,High Reliability,15
364,"Location (35.0457, -85.3027)",16078.938046338448,135,19882,12,71,84.91,82.58,100.0,90.89,100.0,89.21,89.63,Excellent - High Frequency,High Reliability,16
328,"Location (35.0452, -85.3124)",16960.252532299142,134,20501,11,71,84.28,85.15,100.0,90.89,91.67,80.4,89.41,Excellent - High Frequency,High Reliability,17
453,"Location (35.0450, -85.3115)",16876.701925648158,129,20010,11,38,81.13,83.11,100.0,95.12,91.67,81.23,88.65,Excellent - High Frequency,High Reliability,18
290,"Location (35.0503, -85.3092)",16557.278339854693,122,20126,12,42,76.73,83.59,100.0,94.61,100.0,84.43,88.45,Excellent - High Frequency,High Reliability,19
292,"Location (35.0443, -85.3118)",16927.433058822888,130,19828,11,47,81.76,82.35,100.0,93.97,91.67,80.73,88.41,Excellent - High Frequency,High Reliability,20
345,"Location (35.0503, -85.3088)",16525.463031721294,123,20271,12,73,77.36,84.19,100.0,90.63,100.0,84.75,88.19,Excellent - High Frequency,High Reliability,21
338,"Location (35.0437, -85.3047)",16308.49029452376,126,20218,11,58,79.25,83.97,100.0,92.55,91.67,86.92,88.05,Excellent - High Frequency,High Reliability,22
403,"Location (35.0458, -85.3032)",16122.22954416108,134,19532,11,81,84.28,81.12,100.0,89.6,91.67,88.78,88.01,Excellent - High Frequency,High Reliability,23
61,"Location (35.0417, -85.3073)",16587.101551142212,138,19896,10,114,86.79,82.63,100.0,85.37,83.33,84.13,87.63,Excellent - High Frequency,High Reliability,24
434,"Location (35.0463, -85.3123)",16919.713707409188,133,20235,11,159,83.65,84.04,100.0,79.59,91.67,80.8,87.23,Excellent - High Frequency,High Reliability,25
