parking_id,name,capacity,distance_to_vw_m,distance_to_vw_miles,vw_distance_category,optimal_walking_scenario,transit_stops_available,daily_transit_trips,service_quality,reliability_class,transit_access_score,frequency_score,distance_score,capacity_score,location_bonus,final_composite_score,suitability_rating,key_strengths,potential_concerns,final_rank,recommendation_tier
26,"Location (35.1160, -85.2772)",786.0,14055.149087703587,8.73,Optimal Distance,Conservative (500m),,,,,24.1,,100.0,24.64,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access,1,Tier 1: Primary Recommendations
94,"Location (35.0958, -85.2230)",351.0,8686.830403585926,5.4,Optimal Distance,Conservative (500m),,,,,11.43,,100.0,11.0,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access,2,Tier 1: Primary Recommendations
139,"Location (35.1081, -85.2368)",278.0,10281.217281283522,6.39,Optimal Distance,Conservative (500m),,,,,13.81,,100.0,8.71,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access,3,Tier 1: Primary Recommendations
4,"Location (35.0168, -85.2999)",2101.0,16831.13678409337,10.46,Far - Acceptable,Conservative (500m),,,,,24.9,,81.69,65.86,50.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access | Far from VW,4,Tier 1: Primary Recommendations
181,"Location (35.1450, -85.2380)",229.0,12369.750211654045,7.69,Optimal Distance,Conservative (500m),,,,,18.26,,100.0,7.18,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access,5,Tier 1: Primary Recommendations
188,"Location (35.1420, -85.2350)",225.0,11942.771881321734,7.42,Optimal Distance,Conservative (500m),,,,,18.06,,100.0,7.05,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access,6,Tier 2: Strong Alternatives
192,"Location (35.0966, -85.2197)",220.0,8416.608636560028,5.23,Optimal Distance,Conservative (500m),,,,,10.74,,100.0,6.9,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access,7,Tier 2: Strong Alternatives
438,"Location (35.1021, -85.2307)",56.0,9544.66353434196,5.93,Optimal Distance,Conservative (500m),,,,,15.97,,100.0,1.76,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access | Limited Capacity,8,Tier 2: Strong Alternatives
14,"Location (35.1466, -85.2510)",1085.0,13425.069605091669,8.34,Optimal Distance,Conservative (500m),,,,,17.17,,100.0,34.01,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access,9,Tier 2: Strong Alternatives
234,"Location (35.1073, -85.2372)",191.0,10293.659366842465,6.4,Optimal Distance,Conservative (500m),,,,,15.2,,100.0,5.99,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access,10,Tier 2: Strong Alternatives
