final_rank,name,capacity,distance_to_vw_miles,optimal_walking_scenario,transit_stops_available,daily_transit_trips,service_quality,reliability_class,final_composite_score,suitability_rating,recommendation_tier,key_strengths,potential_concerns
1,"Location (35.1160, -85.2772)",786.0,8.73,Conservative (500m),,,,,,Poor - Not Recommended,Tier 1: Primary Recommendations,Optimal Distance from VW,Limited Transit Access
2,"Location (35.0958, -85.2230)",351.0,5.4,Conservative (500m),,,,,,Poor - Not Recommended,Tier 1: Primary Recommendations,Optimal Distance from VW,Limited Transit Access
3,"Location (35.1081, -85.2368)",278.0,6.39,Conservative (500m),,,,,,Poor - Not Recommended,Tier 1: Primary Recommendations,Optimal Distance from VW,Limited Transit Access
4,"Location (35.0168, -85.2999)",2101.0,10.46,Conservative (500m),,,,,,Poor - Not Recommended,Tier 1: Primary Recommendations,Optimal Distance from VW,Limited Transit Access | Far from VW
5,"Location (35.1450, -85.2380)",229.0,7.69,Conservative (500m),,,,,,Poor - Not Recommended,Tier 1: Primary Recommendations,Optimal Distance from VW,Limited Transit Access
6,"Location (35.1420, -85.2350)",225.0,7.42,Conservative (500m),,,,,,Poor - Not Recommended,Tier 2: Strong Alternatives,Optimal Distance from VW,Limited Transit Access
7,"Location (35.0966, -85.2197)",220.0,5.23,Conservative (500m),,,,,,Poor - Not Recommended,Tier 2: Strong Alternatives,Optimal Distance from VW,Limited Transit Access
8,"Location (35.1021, -85.2307)",56.0,5.93,Conservative (500m),,,,,,Poor - Not Recommended,Tier 2: Strong Alternatives,Optimal Distance from VW,Limited Transit Access | Limited Capacity
9,"Location (35.1466, -85.2510)",1085.0,8.34,Conservative (500m),,,,,,Poor - Not Recommended,Tier 2: Strong Alternatives,Optimal Distance from VW,Limited Transit Access
10,"Location (35.1073, -85.2372)",191.0,6.4,Conservative (500m),,,,,,Poor - Not Recommended,Tier 2: Strong Alternatives,Optimal Distance from VW,Limited Transit Access
11,"Location (35.0058, -85.2325)",102.0,7.58,Conservative (500m),,,,,,Poor - Not Recommended,Tier 2: Strong Alternatives,Optimal Distance from VW,Limited Transit Access
12,"Location (35.0483, -85.3062)",111.0,10.15,Moderate (800m),159.0,24077.0,Excellent - High Frequency,High Reliability,84.77,Excellent - Highly Recommended,Tier 2: Strong Alternatives,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW
13,"Location (35.0476, -85.3068)",65.0,10.19,Moderate (800m),156.0,23988.0,Excellent - High Frequency,High Reliability,84.1,Excellent - Highly Recommended,Tier 2: Strong Alternatives,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity
14,"Location (35.0465, -85.3051)",100.0,10.12,Extended (1000m),191.0,22998.0,Excellent - High Frequency,High Reliability,83.76,Excellent - Highly Recommended,Tier 2: Strong Alternatives,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW
15,"Location (35.0463, -85.3041)",210.0,10.06,Extended (1000m),195.0,21869.0,Excellent - High Frequency,High Reliability,83.49,Excellent - Highly Recommended,Tier 2: Strong Alternatives,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW
16,"Location (35.0468, -85.3080)",82.0,10.27,Moderate (800m),155.0,23583.0,Excellent - High Frequency,High Reliability,83.03,Excellent - Highly Recommended,Tier 3: Viable Options,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity
17,"Location (35.0463, -85.3099)",136.0,10.38,Extended (1000m),193.0,22428.0,Excellent - High Frequency,High Reliability,82.53,Excellent - Highly Recommended,Tier 3: Viable Options,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW
18,"Location (35.0453, -85.3062)",120.0,10.19,Extended (1000m),193.0,21775.0,Excellent - High Frequency,High Reliability,82.27,Excellent - Highly Recommended,Tier 3: Viable Options,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW
19,"Location (35.0457, -85.3027)",96.0,9.99,Extended (1000m),191.0,19882.0,Excellent - High Frequency,High Reliability,80.72,Excellent - Highly Recommended,Tier 3: Viable Options,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity
20,"Location (35.0484, -85.3041)",87.0,10.03,Extended (1000m),186.0,20169.0,Excellent - High Frequency,High Reliability,80.64,Excellent - Highly Recommended,Tier 3: Viable Options,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity
