parking_id,name,capacity,type,distance_to_vw_m,vw_distance_category,num_stops_500m,trips_500m,nearest_stop_500m,transit_ok_500m,num_stops_800m,trips_800m,nearest_stop_800m,transit_ok_800m,num_stops_1000m,trips_1000m,nearest_stop_1000m,transit_ok_1000m
29,"Location (35.0365, -85.1552)",664.0,Surface Lot,5012.728347499456,Near - Marginal,6,725,293.0,True,9,1035,293.0,True,12,1345,293.0,True
95,"Location (35.0369, -85.1581)",350.0,Surface Lot,5101.151819356967,Near - Marginal,3,413,217.0,True,10,1138,217.0,True,20,2172,217.0,True
81,"Location (35.0743, -85.1868)",391.0,Large Surface Lot,5134.277190232825,Near - Marginal,6,102,171.0,True,8,136,171.0,True,11,187,171.0,True
1,"Location (35.0601, -85.1836)",3246.0,Surface Lot,5186.199941137874,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
75,"Location (35.0366, -85.1597)",416.0,Surface Lot,5209.900613742207,Near - Marginal,2,310,75.0,True,10,1138,75.0,True,23,2482,75.0,True
10,"Location (35.0348, -85.1568)",1257.0,Surface Lot,5249.99127523449,Near - Marginal,5,622,338.0,True,7,828,338.0,True,10,1138,338.0,True
58,"Location (35.0353, -85.1609)",482.0,Surface Lot,5385.073552751115,Near - Marginal,2,310,177.0,True,6,724,177.0,True,20,2172,177.0,True
115,"Location (35.0331, -85.1567)",306.0,Surface Lot,5416.221546708479,Near - Marginal,3,311,236.0,True,6,725,236.0,True,7,828,236.0,True
177,"Location (35.0603, -85.1866)",234.0,Large Surface Lot,5432.224276656704,Near - Marginal,0,0,,False,0,0,,False,1,1,957.0,False
126,"Location (35.0871, -85.1891)",292.0,Large Surface Lot,5457.218692976104,Near - Marginal,6,57,70.0,True,9,86,70.0,True,11,105,70.0,True
42,"Location (35.0338, -85.1606)",549.0,Surface Lot,5512.802843370634,Near - Marginal,2,310,268.0,True,5,621,268.0,True,7,828,268.0,True
208,"Location (35.0842, -85.0707)",210.0,Large Surface Lot,5517.217477561289,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
312,"Location (35.0608, -85.1881)",131.0,Surface Lot,5546.5964218240915,Near - Marginal,0,0,,False,0,0,,False,1,1,901.0,False
17,"Location (35.0321, -85.1578)",913.0,Surface Lot,5561.960860268819,Near - Marginal,3,311,117.0,True,5,622,117.0,True,7,828,117.0,True
429,"Location (35.0557, -85.1862)",59.0,Surface Lot,5599.406625274831,Near - Marginal,0,0,,False,1,1,755.0,False,1,1,755.0,False
210,"Location (35.0323, -85.1595)",207.0,Surface Lot,5612.268163857909,Near - Marginal,2,207,74.0,True,4,518,74.0,True,6,725,74.0,True
143,"Location (35.0526, -85.1851)",270.0,Large Surface Lot,5664.791299137396,Near - Marginal,0,0,,False,0,0,,False,1,1,870.0,False
432,"Location (35.0532, -85.1858)",58.0,Surface Lot,5680.52503781835,Near - Marginal,0,0,,False,0,0,,False,1,1,801.0,False
132,"Location (35.0592, -85.1893)",286.0,Large Surface Lot,5708.787636335109,Near - Marginal,0,0,,False,1,1,690.0,False,1,1,690.0,False
101,"Location (35.0631, -85.1917)",338.0,Large Surface Lot,5784.258510733405,Near - Marginal,0,0,,False,0,0,,False,1,1,976.0,False
22,"Location (35.0565, -85.1899)",852.0,Large Surface Lot,5873.741949952674,Near - Marginal,1,1,458.0,False,1,1,458.0,False,1,1,458.0,False
33,"Location (35.0589, -85.1913)",617.0,Large Surface Lot,5886.8400323876685,Near - Marginal,0,0,,False,1,1,563.0,False,1,1,563.0,False
141,"Location (35.0554, -85.1895)",275.0,Large Surface Lot,5886.877415513694,Near - Marginal,1,1,453.0,False,1,1,453.0,False,1,1,453.0,False
184,"Location (35.0620, -85.1926)",227.0,Large Surface Lot,5898.430847857317,Near - Marginal,0,0,,False,0,0,,False,1,1,842.0,False
121,"Location (35.0582, -85.1912)",297.0,Large Surface Lot,5909.081688411215,Near - Marginal,1,1,498.0,False,1,1,498.0,False,1,1,498.0,False
350,"Location (35.0904, -85.0655)",105.0,Surface Lot,6111.974353058337,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
418,"Location (35.0909, -85.0653)",65.0,Surface Lot,6147.904220524599,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
51,Publix Parking Lot,502.0,Large Surface Lot,6161.0214096622785,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
379,"Location (35.0839, -85.0634)",88.0,Surface Lot,6174.464878084384,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
393,"Location (35.0915, -85.0651)",77.0,Surface Lot,6183.205809862157,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
183,"Location (35.0733, -85.1997)",229.0,Large Surface Lot,6321.051118763003,Near - Marginal,2,34,367.0,True,3,51,367.0,True,5,85,367.0,True
248,Ooltewah High School's Parking Lot #3,181.0,Large Surface Lot,6371.4527161816595,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
359,"Location (35.0308, -85.1743)",100.0,Surface Lot,6488.098468502101,Near - Marginal,0,0,,False,5,517,568.0,True,7,724,568.0,True
83,Ooltewah High School's Parking Lot #1,390.0,Large Surface Lot,6505.547465104546,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
251,"Location (35.0911, -85.0611)",180.0,Large Surface Lot,6522.437708820166,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
216,"Location (35.0953, -85.0624)",205.0,Large Surface Lot,6541.6253609919695,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
257,"Location (35.0748, -85.2029)",178.0,Large Surface Lot,6602.972725072853,Near - Marginal,0,0,,False,2,34,620.0,True,2,34,620.0,True
397,"Location (35.0823, -85.0584)",74.0,Surface Lot,6605.218928735731,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
229,Oakwood Baptist Church Parking Lot,197.0,Surface Lot,6615.814407029805,Near - Marginal,0,0,,False,3,44,681.0,True,4,53,681.0,True
304,"Location (35.0833, -85.0578)",136.0,Surface Lot,6673.108544357842,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
343,"Location (35.0770, -85.2041)",108.0,Surface Lot,6710.698768889545,Near - Marginal,0,0,,False,2,27,769.0,True,6,72,769.0,True
44,"Location (35.0956, -85.0595)",542.0,Large Surface Lot,6803.6512714964665,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
164,"Location (35.0823, -85.0555)",251.0,Large Surface Lot,6869.984713303743,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
156,"Location (35.0327, -85.1841)",256.0,Surface Lot,6921.977172744164,Near - Marginal,5,518,263.0,True,8,827,263.0,True,10,1035,263.0,True
100,"Location (35.0668, -85.2066)",338.0,Large Surface Lot,7021.701362063906,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
356,"Location (35.0318, -85.1846)",101.0,Surface Lot,7022.89688145134,Near - Marginal,5,517,155.0,True,8,827,155.0,True,10,1035,155.0,True
423,"Location (35.0323, -85.1858)",63.0,Surface Lot,7061.071476816894,Near - Marginal,4,414,189.0,True,9,931,189.0,True,9,931,189.0,True
386,"Location (35.0425, -85.1978)",85.0,Surface Lot,7228.255432407379,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
19,Long Term Lot 2,874.0,Surface Lot,7338.882906003759,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
323,Short Term Lot,118.0,Surface Lot,7403.250761570877,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
155,"Location (35.0186, -85.1714)",256.0,Surface Lot,7473.487428792478,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
203,Rental Car Lot,213.0,Surface Lot,7544.020040052659,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
430,"Location (35.0120, -85.1584)",59.0,Surface Lot,7639.119950627107,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
204,"Location (35.0126, -85.1632)",212.0,Large Surface Lot,7733.11056635245,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
161,Cell Waiting Lot,252.0,Surface Lot,7831.405716430047,Near - Marginal,0,0,,False,5,517,608.0,True,10,1034,608.0,True
272,"Location (35.0114, -85.1634)",169.0,Large Surface Lot,7864.190198931301,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
334,"Location (35.1127, -85.2054)",112.0,Surface Lot,7889.965848019184,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
235,"Location (35.0107, -85.1644)",191.0,Large Surface Lot,7971.489239278489,Near - Marginal,0,0,,False,0,0,,False,0,0,,False
12,"Location (35.0266, -85.1941)",1185.0,Large Surface Lot,8049.539458071221,Optimal Distance,5,517,183.0,True,10,1034,183.0,True,13,1345,183.0,True
55,"Location (35.0053, -85.1493)",494.0,Large Surface Lot,8132.715793239566,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
346,"Location (35.1409, -85.1748)",107.0,Surface Lot,8157.602810746134,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
40,Brainerd Hills Baptist Church,550.0,Large Surface Lot,8178.542669063922,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
424,"Location (35.1284, -85.1973)",61.0,Surface Lot,8342.38063871617,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
150,"Location (35.1089, -85.2135)",259.0,Surface Lot,8353.900596639665,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
201,"Location (35.0287, -85.2010)",214.0,Surface Lot,8362.941929626348,Optimal Distance,0,0,,False,6,620,707.0,True,9,932,707.0,True
391,"Location (35.0350, -85.2069)",78.0,Surface Lot,8375.401451527152,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
413,"Location (35.0341, -85.2065)",69.0,Surface Lot,8401.748357600041,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
192,"Location (35.0966, -85.2197)",220.0,Large Surface Lot,8416.608636560028,Optimal Distance,0,0,,False,0,0,,False,1,17,879.0,True
442,"Location (35.1080, -85.2169)",53.0,Surface Lot,8591.733573662385,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
324,"Location (35.0912, -85.2237)",117.0,Surface Lot,8635.993054030803,Optimal Distance,1,17,444.0,True,1,17,444.0,True,1,17,444.0,True
353,"Location (35.1099, -85.2164)",103.0,Surface Lot,8637.312685161865,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
94,"Location (35.0958, -85.2230)",351.0,Surface Lot,8686.830403585926,Optimal Distance,0,0,,False,0,0,,False,1,17,834.0,True
92,"Location (35.0132, -85.1859)",356.0,Large Surface Lot,8689.097646901724,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
163,"Location (35.0142, -85.1878)",251.0,Large Surface Lot,8707.692242660594,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
107,"Location (35.0129, -85.1873)",321.0,Large Surface Lot,8787.456018531568,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
428,"Location (35.1095, -85.2188)",59.0,Surface Lot,8823.88301379331,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
129,"Location (35.0129, -85.1886)",288.0,Large Surface Lot,8859.401591161633,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
68,"Location (35.0124, -85.1897)",445.0,Large Surface Lot,8961.966209867094,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
79,"Location (35.0408, -85.2200)",404.0,Large Surface Lot,9085.883641913011,Optimal Distance,3,3,292.0,False,4,4,292.0,False,5,5,292.0,False
112,"Location (35.0343, -85.2190)",314.0,Large Surface Lot,9356.191045005562,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
64,"Location (35.0302, -85.2171)",465.0,Large Surface Lot,9446.738325382683,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
299,"Location (35.1287, -85.2139)",145.0,Surface Lot,9522.855149047155,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
438,"Location (35.1021, -85.2307)",56.0,Surface Lot,9544.66353434196,Optimal Distance,0,0,,False,0,0,,False,1,30,802.0,True
450,"Location (35.1269, -85.2158)",51.0,Surface Lot,9548.355513808794,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
202,"Location (35.0730, -85.2366)",214.0,Large Surface Lot,9682.087855690073,Optimal Distance,5,46,122.0,True,8,75,122.0,True,13,179,122.0,True
330,"Location (35.0257, -85.2176)",114.0,Surface Lot,9768.510341526768,Optimal Distance,0,0,,False,0,0,,False,0,0,,False
96,"Location (35.0152, -85.2073)",349.0,Large Surface Lot,9794.010470838497,Optimal Distance,6,549,120.0,True,13,1274,120.0,True,19,1895,120.0,True
37,"Location (35.1008, -85.2344)",577.0,Large Surface Lot,9828.951655446512,Optimal Distance,1,30,440.0,True,3,64,440.0,True,3,64,440.0,True
