Name,Latitude,Longitude,Capacity,Type
"Location (35.0601, -85.1836)",35.060120115409035,-85.1836046454094,3246.0,Surface Lot
"Location (35.1132, -85.2471)",35.11319524173957,-85.24713146136098,3190.0,Large Surface Lot
"Location (35.0053, -85.3929)",35.0052767064176,-85.39287902975674,2747.0,Large Surface Lot
"Location (35.0168, -85.2999)",35.01682092051467,-85.29994129671037,2101.0,Surface Lot
"Location (34.9952, -85.3113)",34.99515249275171,-85.31128568242079,2097.0,Large Surface Lot
"Location (35.1542, -85.2470)",35.15419078446651,-85.24698933778049,2043.0,Surface Lot
"Location (35.0098, -85.2057)",35.009799152886735,-85.20566983593521,1457.0,Surface Lot
"Location (35.1481, -85.2070)",35.148103204587265,-85.20699386186578,1268.0,Large Surface Lot
VWGoA,35.072230401416164,-85.13449605350407,1264.0,Surface Lot
"Location (35.0348, -85.1568)",35.0348430019882,-85.1568262048154,1257.0,Surface Lot
VWGoA,35.075345270609965,-85.13146269874446,1192.0,Surface Lot
"Location (35.0266, -85.1941)",35.0266450795846,-85.19414591923429,1185.0,Large Surface Lot
"Location (35.1397, -85.2457)",35.13967979911715,-85.24569673155412,1164.0,Surface Lot
"Location (35.1466, -85.2510)",35.14662956838624,-85.25096469412644,1085.0,Large Surface Lot
"Location (35.1343, -85.2443)",35.13434455270474,-85.24429688636782,999.0,Large Surface Lot
"Location (35.1371, -85.2424)",35.13714033796049,-85.24244777828456,985.0,Surface Lot
"Location (35.0321, -85.1578)",35.03207618250096,-85.15775019407695,913.0,Surface Lot
"Location (35.0379, -85.3148)",35.03793381078941,-85.31481227338125,881.0,Large Surface Lot
Long Term Lot 2,35.03934186922786,-85.19674432279704,874.0,Surface Lot
Hixson Plaza,35.114302746112216,-85.2621403931939,855.0,Surface Lot
"Location (35.0295, -85.3069)",35.02945200860728,-85.30689083332157,853.0,Large Surface Lot
"Location (35.0565, -85.1899)",35.05646961613341,-85.18994128273707,852.0,Large Surface Lot
"Location (35.1182, -85.3150)",35.11819576734028,-85.31501522301843,847.0,Large Surface Lot
"Location (35.0395, -85.1549)",35.03948355653957,-85.15490612975758,809.0,Surface Lot
"Location (35.0486, -85.3163)",35.04860788929704,-85.31630800719167,794.0,Surface Lot
"Location (35.1160, -85.2772)",35.116046549868955,-85.2771880165621,786.0,Surface Lot
Trailer Yard,35.083147903644665,-85.1318087728323,769.0,Surface Lot
"Location (35.0404, -85.3213)",35.04044189504148,-85.321258873502,752.0,Large Surface Lot
"Location (35.0365, -85.1552)",35.03654980214031,-85.15516875766018,664.0,Surface Lot
"Location (35.0714, -85.1375)",35.07137818365904,-85.13747625180558,657.0,Large Surface Lot
"Location (35.0462, -85.3227)",35.04620317067831,-85.32274925411761,645.0,Large Surface Lot
