parking_id,name,capacity,population_5km,estimated_demand,transit_stops_nearby,avg_transit_frequency,avg_walk_distance_m,population_score,demand_score,capacity_score,transit_access_score,transit_frequency_score,proximity_score,composite_score,supply_demand_status,rank
235,"Location (35.0107, -85.1644)",191.0,66977.0,3215,,,,63.67,63.68,5.88,,,,,High Demand - Undersupplied,1
223,"Location (35.0448, -85.3341)",199.0,55697.0,2673,,,,52.95,52.94,6.13,,,,,High Demand - Undersupplied,2
240,"Location (35.1240, -85.3062)",189.0,63904.0,3067,,,,60.75,60.74,5.82,,,,,High Demand - Undersupplied,3
130,"Location (35.1035, -85.3245)",288.0,54457.0,2614,,,,51.77,51.77,8.87,,,,,High Demand - Undersupplied,4
272,"Location (35.0114, -85.1634)",169.0,66977.0,3215,,,,63.67,63.68,5.21,,,,,High Demand - Undersupplied,5
411,"Location (35.1243, -85.3020)",70.0,60645.0,2911,,,,57.65,57.65,2.16,,,,,High Demand - Undersupplied,6
63,"Location (35.0501, -85.1270)",466.0,53325.0,2560,,,,50.69,50.7,14.36,,,,,High Demand - Undersupplied,7
150,"Location (35.1089, -85.2135)",259.0,51804.0,2487,,,,49.25,49.26,7.98,,,,,High Demand - Undersupplied,8
306,"Location (35.1201, -85.3055)",134.0,65777.0,3157,,,,62.53,62.53,4.13,,,,,High Demand - Undersupplied,9
188,"Location (35.1420, -85.2350)",225.0,50068.0,2403,,,,47.6,47.59,6.93,,,,,High Demand - Undersupplied,10
375,"Location (35.0820, -85.0842)",88.0,43931.0,2109,,,,41.76,41.77,2.71,,,,,High Demand - Undersupplied,11
147,"Location (35.1593, -85.1957)",263.0,39814.0,1911,,,,37.85,37.85,8.1,,,,,High Demand - Undersupplied,12
14,"Location (35.1466, -85.2510)",1085.0,57111.0,2741,,,,54.29,54.29,33.43,,,,,High Demand - Undersupplied,13
3,"Location (35.0053, -85.3929)",2747.0,14992.0,720,,,,14.25,14.26,84.63,,,,,Low Demand - Oversupplied,14
43,"Location (35.0740, -85.1042)",548.0,46149.0,2215,,,,43.87,43.87,16.88,,,,,High Demand - Undersupplied,15
124,"Location (35.1105, -85.3209)",293.0,55423.0,2660,,,,52.69,52.68,9.03,,,,,High Demand - Undersupplied,16
105,"Location (35.0069, -85.3905)",327.0,15550.0,746,,,,14.78,14.78,10.07,,,,,High Demand - Undersupplied,17
199,"Location (35.1305, -85.2177)",216.0,47370.0,2274,,,,45.03,45.04,6.65,,,,,High Demand - Undersupplied,18
45,"Location (35.0924, -85.3103)",540.0,59955.0,2878,,,,57.0,57.0,16.64,,,,,High Demand - Undersupplied,19
360,"Location (35.1561, -85.1967)",99.0,38507.0,1848,,,,36.61,36.6,3.05,,,,,High Demand - Undersupplied,20
237,"Location (35.0488, -85.1461)",191.0,65472.0,3143,,,,62.24,62.25,5.88,,,,,High Demand - Undersupplied,21
111,"Location (35.0633, -85.1634)",314.0,54672.0,2624,,,,51.98,51.97,9.67,,,,,High Demand - Undersupplied,22
1,"Location (35.0601, -85.1836)",3246.0,53091.0,2548,,,,50.47,50.47,100.0,,,,,Balanced,23
44,"Location (35.0956, -85.0595)",542.0,35015.0,1681,,,,33.29,33.29,16.7,,,,,High Demand - Undersupplied,24
23,"Location (35.1182, -85.3150)",847.0,59488.0,2855,,,,56.55,56.55,26.09,,,,,High Demand - Undersupplied,25
92,"Location (35.0132, -85.1859)",356.0,70820.0,3399,,,,67.33,67.32,10.97,,,,,High Demand - Undersupplied,26
200,"Location (35.0080, -85.3917)",215.0,15550.0,746,,,,14.78,14.78,6.62,,,,,High Demand - Undersupplied,27
4,"Location (35.0168, -85.2999)",2101.0,87906.0,4219,,,,83.57,83.56,64.73,,,,,High Demand - Undersupplied,28
407,"Location (35.1551, -85.2482)",71.0,51329.0,2464,,,,48.8,48.8,2.19,,,,,High Demand - Undersupplied,29
174,"Location (35.1454, -85.2251)",238.0,46207.0,2218,,,,43.93,43.93,7.33,,,,,High Demand - Undersupplied,30
323,Short Term Lot,118.0,68447.0,3285,,,,65.07,65.06,3.64,,,,,High Demand - Undersupplied,31
208,"Location (35.0842, -85.0707)",210.0,37060.0,1779,,,,35.23,35.23,6.47,,,,,High Demand - Undersupplied,32
342,"Location (35.0199, -85.3403)",108.0,48119.0,2310,,,,45.75,45.75,3.33,,,,,High Demand - Undersupplied,33
190,"Location (35.0162, -85.3838)",221.0,16816.0,807,,,,15.99,15.98,6.81,,,,,High Demand - Undersupplied,34
410,"Location (35.1467, -85.2214)",70.0,49850.0,2393,,,,47.39,47.4,2.16,,,,,High Demand - Undersupplied,35
402,"Location (35.0930, -85.3052)",72.0,60959.0,2926,,,,57.95,57.95,2.22,,,,,High Demand - Undersupplied,36
354,"Location (35.0058, -85.2325)",102.0,91727.0,4403,,,,87.2,87.21,3.14,,,,,High Demand - Undersupplied,37
159,"Location (35.1072, -85.2956)",255.0,65210.0,3130,,,,61.99,61.99,7.86,,,,,High Demand - Undersupplied,38
246,"Location (35.1445, -85.2190)",182.0,49850.0,2393,,,,47.39,47.4,5.61,,,,,High Demand - Undersupplied,39
6,"Location (35.1542, -85.2470)",2043.0,49717.0,2386,,,,47.26,47.26,62.94,,,,,Adequate Demand - Consider Expansion,40
418,"Location (35.0909, -85.0653)",65.0,33074.0,1588,,,,31.44,31.45,2.0,,,,,High Demand - Undersupplied,41
74,"Location (35.0828, -85.0824)",417.0,43931.0,2109,,,,41.76,41.77,12.85,,,,,High Demand - Undersupplied,42
248,Ooltewah High School's Parking Lot #3,181.0,35015.0,1681,,,,33.29,33.29,5.58,,,,,High Demand - Undersupplied,43
314,"Location (35.0871, -85.3372)",127.0,44471.0,2135,,,,42.28,42.29,3.91,,,,,High Demand - Undersupplied,44
280,"Location (35.0587, -85.1503)",166.0,60375.0,2898,,,,57.4,57.4,5.11,,,,,High Demand - Undersupplied,45
346,"Location (35.1409, -85.1748)",107.0,37891.0,1819,,,,36.02,36.03,3.3,,,,,High Demand - Undersupplied,46
177,"Location (35.0603, -85.1866)",234.0,54618.0,2622,,,,51.92,51.93,7.21,,,,,High Demand - Undersupplied,47
186,"Location (35.0817, -85.0863)",226.0,43931.0,2109,,,,41.76,41.77,6.96,,,,,High Demand - Undersupplied,48
234,"Location (35.1073, -85.2372)",191.0,59370.0,2850,,,,56.44,56.45,5.88,,,,,High Demand - Undersupplied,49
102,"Location (35.0059, -85.3898)",336.0,16436.0,789,,,,15.63,15.63,10.35,,,,,High Demand - Undersupplied,50
163,"Location (35.0142, -85.1878)",251.0,69235.0,3323,,,,65.82,65.82,7.73,,,,,High Demand - Undersupplied,51
413,"Location (35.0341, -85.2065)",69.0,76458.0,3670,,,,72.69,72.69,2.13,,,,,High Demand - Undersupplied,52
64,"Location (35.0302, -85.2171)",465.0,75093.0,3604,,,,71.39,71.38,14.33,,,,,High Demand - Undersupplied,53
